[Info  - 17:06:55] Angular language server process ID: 17783
[Info  - 17:06:55] Using typescript/lib/tsserverlibrary v4.9.5 from /home/rugery/Documentos/Proyects/Portafolio/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 17:06:55] Using @angular/language-service v15.2.0 from /home/rugery/.vscode/extensions/angular.ng-template-15.2.0/node_modules/@angular/language-service/index.js
[Info  - 17:06:55] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:06:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Info  - 17:07:00] Enabling Ivy language service for /home/rugery/Documentos/Proyects/Portafolio/tsconfig.json.
[Error - 17:07:01] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:07:03] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:07:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:07:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:07:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:07:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:07:34] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:11] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:14] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:15] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:08:33] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:12] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:09:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:10:04] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:10:07] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:10:08] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:39] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:39] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:39] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:41] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:41] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:41] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:53] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:53] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:53] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:11:54] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:13:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:13:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:13:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:13:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:02] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:03] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:03] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:05] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:05] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:05] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:05] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:06] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 17:14:12] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
