[Info  - 16:42:09] Angular language server process ID: 12767
[Info  - 16:42:09] Using typescript/lib/tsserverlibrary v4.9.5 from /home/rugery/Documentos/Proyects/Portafolio/node_modules/typescript/lib/tsserverlibrary.js
[Error - 16:48:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:31] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:36] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:41] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:46] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:47] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:48] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:48] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:48:53] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:07] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:09] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:10] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:12] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:12] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:13] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:13] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:14] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:35] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:50] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:51] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:49:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
