[Info  - 15:58:11] Angular language server process ID: 11907
[Info  - 15:58:11] Using typescript/lib/tsserverlibrary v4.8.2 from /home/rugery/.vscode/extensions/angular.ng-template-15.2.0/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 15:58:11] Using @angular/language-service v15.2.0 from /home/rugery/.vscode/extensions/angular.ng-template-15.2.0/node_modules/@angular/language-service/index.js
[Info  - 15:58:11] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 15:59:07] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:07] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:07] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:07] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:07] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:36] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:36] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:38] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:39] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:39] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:39] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:40] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:40] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:41] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:42] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:42] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:42] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:42] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:42] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:43] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:45] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:45] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:45] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:45] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:45] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:46] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:48] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:48] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:48] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:48] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:48] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:49] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:49] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:49] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:49] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:49] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:49] No config file for /home/rugery/Documentos/Programs/index.html
[Error - 15:59:51] No config file for /home/rugery/Documentos/Programs/index.html
