[Info  - 16:02:29] Angular language server process ID: 7433
[Info  - 16:02:29] Using typescript/lib/tsserverlibrary v4.8.2 from /home/rugery/.vscode/extensions/angular.ng-template-15.2.0/node_modules/typescript/lib/tsserverlibrary.js
[Error - 16:02:48] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:48] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:49] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:50] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:50] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:50] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:50] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:50] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:52] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:02:58] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:03:00] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:03:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:17] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:17] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:18] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:21] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
